species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g
2,1,43.4,14.4,218.0,4600.0
2,1,50.4,15.7,222.0,5750.0
2,1,46.4,15.6,221.0,5000.0
0,1,37.7,16.0,183.0,3075.0
2,1,50.7,15.0,223.0,5550.0
2,1,50.5,15.9,225.0,5400.0
0,0,40.6,19.0,199.0,4000.0
0,0,37.8,17.3,180.0,3700.0
0,2,39.2,18.6,190.0,4250.0
2,1,46.8,15.4,215.0,5150.0
1,2,52.0,18.1,201.0,4050.0
2,1,49.6,15.0,216.0,4750.0
2,1,49.5,16.2,229.0,5800.0
1,2,51.3,18.2,197.0,3750.0
0,2,40.8,18.9,208.0,4300.0
0,1,41.1,19.1,188.0,4100.0
0,0,36.7,19.3,193.0,3450.0
2,1,47.8,15.0,215.0,5650.0
0,1,41.6,18.0,192.0,3950.0
0,2,41.3,20.3,194.0,3550.0
2,1,48.7,14.1,210.0,4450.0
1,2,45.6,19.4,194.0,3525.0
2,1,49.8,15.9,229.0,5950.0
2,1,48.2,15.6,221.0,5100.0
0,2,41.1,18.1,205.0,4300.0
0,0,38.9,17.8,181.0,3625.0
1,2,49.6,18.2,193.0,3775.0
1,2,58.0,17.8,181.0,3700.0
2,1,43.5,15.2,213.0,4650.0
0,2,35.7,18.0,202.0,3550.0
0,0,37.3,20.5,199.0,3775.0
0,1,38.6,17.2,199.0,3750.0
2,1,42.6,13.7,213.0,4950.0
0,2,37.0,16.5,185.0,3400.0
0,1,38.2,20.0,190.0,3900.0
1,2,43.2,16.6,187.0,2900.0
0,2,36.8,18.5,193.0,3500.0
0,0,34.4,18.4,184.0,3325.0
2,1,50.8,15.7,226.0,5200.0
0,2,34.0,17.1,185.0,3400.0
0,0,34.6,17.2,189.0,3200.0
0,0,41.5,18.3,195.0,4300.0
0,0,41.4,18.5,202.0,3875.0
2,1,42.8,14.2,209.0,4700.0
2,1,46.4,15.0,216.0,4700.0
2,1,42.0,13.5,210.0,4150.0
0,0,43.1,19.2,197.0,3500.0
2,1,49.1,15.0,228.0,5500.0
1,2,50.8,18.5,201.0,4450.0
0,1,45.6,20.3,191.0,4600.0
1,2,51.3,19.2,193.0,3650.0
1,2,52.0,20.7,210.0,4800.0
0,0,40.2,17.0,176.0,3450.0
0,0,36.2,17.2,187.0,3150.0
2,1,48.1,15.1,209.0,5500.0
1,2,45.2,16.6,191.0,3250.0
2,1,52.5,15.6,221.0,5450.0
0,0,45.8,18.9,197.0,4150.0
0,1,37.6,19.1,194.0,3750.0
0,0,41.1,17.6,182.0,3200.0
2,1,50.1,15.0,225.0,5000.0
0,1,40.5,17.9,187.0,3200.0
2,1,51.5,16.3,230.0,5500.0
2,1,49.9,16.1,213.0,5400.0
0,2,38.9,18.8,190.0,3600.0
0,1,40.5,18.9,180.0,3950.0
0,1,36.5,16.6,181.0,2850.0
1,2,51.9,19.5,206.0,3950.0
0,2,39.6,18.1,186.0,4450.0
